,code,year,period,id,Country,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
143,CAS_7723-14-0,2009,2009-01--2009-12,BG4ST700R021,Bulgaria,4836884.0,2.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
144,CAS_14265-44-2,2009,2009-01--2009-12,BG4ST400R1072,Bulgaria,4836884.0,0.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
145,CAS_14265-44-2,2009,2009-01--2009-12,DERW_DESN_674-10,Germany,22635423.0,0.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
149,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DEST_EL03OW01-00,Germany,22635423.0,7.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
150,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DEST_MEL07OW01-00,Germany,22635423.0,4.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
151,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DEST_SE04OW01-00,Germany,22635423.0,1.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
168,CAS_14265-44-2,2009,2009-01--2009-12,BG3AR400R074,Bulgaria,4836884.0,1.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
170,CAS_14265-44-2,2009,2009-01--2009-12,BG4ME100R113,Bulgaria,4836884.0,1.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
211,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0418,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
214,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0381,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
224,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0142B,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
228,CAS_14265-44-2,2009,2009-01--2009-12,ES12043,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
231,CAS_14265-44-2,2009,2009-01--2009-12,ES030MSPF0522011,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
238,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0248,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
239,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0254,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
245,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0143A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
249,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R477,Belgium,6496961.0,5.0,0.0,14.18,3.1,1.91,40.14,18.38,13.94,0.0,5.84,34.303000000000004
257,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R722,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
260,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R550,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
277,CAS_7723-14-0,2009,2009-01--2009-12,ES12113,Spain,50941692.0,6.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
281,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R600,France,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
287,CAS_14265-44-2,2009,2009-01--2009-12,FRHR2A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
290,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0142B,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
298,CAS_14265-44-2,2009,2009-01--2009-12,ES030MSPF0404021,Spain,50941692.0,5.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
308,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R541,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
318,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0004B,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
325,CAS_7723-14-0,2009,2009-01--2009-12,FRDR173B,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
335,CAS_14265-44-2,2009,2009-01--2009-12,FRHR313,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
337,CAS_7723-14-0,2009,2009-01--2009-12,FRHR315,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
342,CAS_7723-14-0,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
345,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0002,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
346,CAS_14265-44-2,2009,2009-01--2009-12,FRHR326,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
351,CAS_14265-44-2,2009,2009-01--2009-12,FRHR314,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
354,CAS_14265-44-2,2009,2009-01--2009-12,FRHR317-I4310600,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
366,CAS_14265-44-2,2009,2009-01--2009-12,FRHR327,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
389,CAS_14265-44-2,2012,2012-01--2012-12,LT410105104,Lithuania,1538269.0,0.0,11.09062194824219,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.0,22.92
404,CAS_7723-14-0,2009,2009-01--2009-12,FRHR329,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
412,CAS_14265-44-2,2009,2009-01--2009-12,ES100MSPF1000460,Spain,50941692.0,1.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
414,CAS_14265-44-2,2009,2009-01--2009-12,FRFRR330B_4,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
420,CAS_7723-14-0,2009,2009-01--2009-12,FRFR252B,France,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
422,CAS_7723-14-0,2009,2009-01--2009-12,FRFRR174_5,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
430,CAS_7723-14-0,2016,2015-10-01--2016-09-30,ES010MSBT011-002,Spain,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
440,CAS_7723-14-0,2009,2009-01--2009-12,BEVL08_172,Belgium,6496961.0,4.0,0.0,14.18,3.1,1.91,40.14,18.38,13.94,0.0,5.84,34.303000000000004
442,CAS_7723-14-0,2009,2009-01--2009-12,ES030MSPF0402010,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
485,CAS_14265-44-2,2008,2008-01--2008-12,FRDR1414,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
488,CAS_14265-44-2,2008,2008-01--2008-12,FRDR490,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
535,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0361,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
543,CAS_14265-44-2,2008,2008-01--2008-12,FRDR593C,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
555,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0433,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
566,CAS_14265-44-2,2008,2008-01--2008-12,IT12N010_CORESE_14SS3F,Italy,39653776.0,6.0,22.000449286566845,34.4,7.6,4.3,15.4,22.8,11.6,0.0,0.0,25.9
579,CAS_14265-44-2,2008,2008-01--2008-12,FRDR581,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
582,CAS_7723-14-0,2008,2008-01--2008-12,FRDR581,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
585,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0214,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
590,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0004A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
596,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0004A,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
604,CAS_14265-44-2,2009,2009-01--2009-12,FRCR19,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
611,CAS_14265-44-2,2009,2009-01--2009-12,FRCR69,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
614,CAS_7723-14-0,2009,2009-01--2009-12,FRCR79,France,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
624,CAS_7723-14-0,2009,2009-01--2009-12,FRGR1496,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
639,CAS_14265-44-2,2009,2009-01--2009-12,FRCR95,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
642,CAS_14265-44-2,2009,2009-01--2009-12,FRDR184,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
644,CAS_7723-14-0,2009,2009-01--2009-12,FRDR179,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
650,CAS_7723-14-0,2011,2011-01--2011-12,ATOK903760009,Austria,19909000.0,2.0,0.0,31.4,7.0,4.4,18.5,19.7,11.1,0.0,0.0,25.66
672,CAS_14265-44-2,2008,2008-01--2008-12,FRGR1026,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
678,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0516,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
679,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0460C,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
692,CAS_7723-14-0,2011,2011-01--2011-12,ATOK305340011,Austria,19909000.0,4.0,0.0,31.4,7.0,4.4,18.5,19.7,11.1,0.0,0.0,25.66
715,CAS_7723-14-0,2008,2008-01--2008-12,FRDR182,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
716,CAS_14265-44-2,2008,2008-01--2008-12,FRDR11359,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
737,CAS_7723-14-0,2008,2008-01--2008-12,FRHR156A,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
738,CAS_7723-14-0,2008,2008-01--2008-12,FRHR213,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
740,CAS_7723-14-0,2008,2008-01--2008-12,FRDR162,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
749,CAS_7723-14-0,2008,2008-01--2008-12,FRHR84,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
754,CAS_14265-44-2,2008,2008-01--2008-12,FRHR87,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
765,CAS_7723-14-0,2008,2008-01--2008-12,FRHR87,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
766,CAS_14265-44-2,2008,2008-01--2008-12,FRHR89,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
776,CAS_14265-44-2,2009,2009-01--2009-12,UKSC005954,United Kingdom,25867961.0,2.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
787,CAS_14265-44-2,2009,2009-01--2009-12,FRB1R550,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
813,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R569,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
819,CAS_7723-14-0,2009,2009-01--2009-12,ES030MSPF0404021,Spain,50941692.0,5.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
836,CAS_14265-44-2,2009,2009-01--2009-12,ES12120,Spain,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
852,CAS_7723-14-0,2009,2009-01--2009-12,ES12120,Spain,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
873,CAS_14265-44-2,2009,2009-01--2009-12,ES030MSPF0329010,Spain,50941692.0,3.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
885,CAS_14265-44-2,2009,2009-01--2009-12,FRCR176,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
900,CAS_7723-14-0,2012,2012-01--2012-12,LT160100013,Lithuania,1538269.0,0.0,11.09062194824219,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.0,22.92
906,CAS_14265-44-2,2006,2006-01--2006-12,UKSC010562,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
919,CAS_7723-14-0,2007,2007-01--2007-12,UKGB104028047370,United Kingdom,25867961.0,2.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
938,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DENW272_24_79,Germany,22635423.0,1.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
955,CAS_14265-44-2,2006,2006-01--2006-12,UKSC010520,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
956,CAS_14265-44-2,2006,2006-01--2006-12,UKSC010669,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
963,CAS_14265-44-2,2008,2008-01--2008-12,FRDR2034B,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
977,CAS_7723-14-0,2008,2008-01--2008-12,FRDR2031,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
980,CAS_7723-14-0,2008,2008-01--2008-12,FRDR1060,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1017,CAS_7723-14-0,2008,2008-01--2008-12,FRFR158,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1034,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0112,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1061,CAS_7723-14-0,2009,2009-01--2009-12,FRHR21,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1071,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0104,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1082,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0112,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1085,CAS_14265-44-2,2009,2009-01--2009-12,FRFR477A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1093,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0094,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1095,CAS_14265-44-2,2009,2009-01--2009-12,FRGR1626,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1099,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0111,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1104,CAS_7723-14-0,2009,2009-01--2009-12,FRFR925,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1105,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0126A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1110,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0131,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1119,CAS_14265-44-2,2009,2009-01--2009-12,FRER10807,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1126,CAS_14265-44-2,2009,2009-01--2009-12,FI04_662_Y01,Finland,2147000.0,0.0,0.0,35.88,9.24,1.7,13.13,37.83,1.45,0.0,0.0,28.12
1192,CAS_14265-44-2,2008,2008-01--2008-12,UKSC003100,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1216,CAS_14265-44-2,2008,2008-01--2008-12,UKSC003700,None,50941692.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1256,CAS_14265-44-2,2006,2006-01--2006-12,UKGB102075073400,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1260,CAS_14265-44-2,2008,2008-01--2008-12,FRDR506B,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1269,CAS_7723-14-0,2011,2011-01--2011-12,ATOK900470058,Austria,19909000.0,0.0,0.0,31.4,7.0,4.4,18.5,19.7,11.1,0.0,0.0,25.66
1273,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0476,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1289,CAS_14265-44-2,2008,2008-01--2008-12,BERW06_MV35R,Belgium,6496961.0,0.0,0.0,14.18,3.1,1.91,40.14,18.38,13.94,0.0,5.84,34.303000000000004
1294,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0462A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1300,CAS_14265-44-2,2008,2008-01--2008-12,FRGR1337,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1316,CAS_7723-14-0,2007,2007-01--2007-12,UKGB102075073400,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1359,CAS_14265-44-2,2008,2008-01--2008-12,UKSC010546,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1360,CAS_14265-44-2,2008,2008-01--2008-12,UKSC010521,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1366,CAS_14265-44-2,2008,2008-01--2008-12,UKSC005950,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1367,CAS_14265-44-2,2008,2008-01--2008-12,UKSC005952,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1386,CAS_14265-44-2,2008,2008-01--2008-12,UKSC005954,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1387,CAS_14265-44-2,2008,2008-01--2008-12,UKSC006000,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1388,CAS_14265-44-2,2008,2008-01--2008-12,UKSC006501,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1389,CAS_14265-44-2,2008,2008-01--2008-12,UKSC006806,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1390,CAS_14265-44-2,2008,2008-01--2008-12,UKSC010084,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
1396,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0462A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1403,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0462B,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1405,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0458,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1406,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0459,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1411,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0462A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1430,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0462A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1432,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0476,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1434,CAS_7723-14-0,2008,2008-01--2008-12,FRGR1337,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1440,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0462B,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1444,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0456,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1448,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0459,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
